timesteps,updates,loss,policy_loss,value_loss,entropy,mean_return
128,200,13.00828745484352,-0.0066800365038216115,13.035292947292328,2.0325433909893036,-48.125
256,200,6.402563532590866,-0.08599133601412177,6.509153079986572,2.0598199236392976,-45.92499999999999
384,200,12.223303942680358,-0.008343443609774112,12.252185416221618,2.0537991189956664,-49.574999999999996
512,200,9.358251832723617,-0.05813203856348991,9.436991724967957,2.060786429643631,-36.94999999999999
640,200,3.049371048808098,-0.07275850656442344,3.1421588665246962,2.0029317700862883,-40.67499999999999
768,200,4.078188654780388,-0.07335225773043931,4.17196813762188,2.0427228820323946,-33.65
896,200,3.6344370222091675,-0.08924661311320961,3.7440500497817992,2.036641410589218,-35.94999999999999
1024,200,3.3764332866668703,-0.09504231169819832,3.492004069685936,2.052847762107849,-35.999999999999986
1152,200,4.576244032382965,-0.05580550380051136,4.652915017008781,2.0865493977069853,-44.574999999999996
1280,200,4.3529116648435595,-0.08404450070112944,4.45773152589798,2.0775375318527223,-35.57499999999999
1408,200,12.262435834407807,-0.028367345491424202,12.311830682754517,2.1027523720264436,-52.849999999999994
1536,200,7.638414809703827,-0.06192107314709574,7.721262671947479,2.0926795756816863,-39.974999999999994
1664,200,7.772148213386536,-0.052385165225714445,7.845345166921615,2.0811789655685424,-31.59999999999999
1792,200,6.451851534843445,-0.0596060851495713,6.532866888046264,2.1409264576435088,-42.925
1920,200,5.0966376626491545,-0.07385646314360202,5.191293715238571,2.0799588739871977,-35.349999999999994
2048,200,3.4370130532979966,-0.09056992944329977,3.548084560036659,2.050156625509262,-43.02499999999999
2176,200,6.175711787939072,-0.05875235941261053,6.254222269058228,1.9758125388622283,-46.04999999999999
2304,200,8.32121647953987,-0.06500857263337821,8.406118532419205,1.9893479996919632,-40.44999999999999
2432,200,5.402887587547302,-0.08357180097140372,5.506806544065475,2.0347154396772384,-45.14999999999999
2560,200,5.878132901191711,-0.05259115281049162,5.9509615707397465,2.023751287460327,-35.32499999999999
2688,200,5.601721994280815,-0.07440402408596128,5.695956934690475,1.9830922776460647,-31.449999999999996
2816,200,4.274457494616509,-0.07108621455729008,4.3649122506380085,1.9368548971414565,-37.89999999999999
2944,200,8.451468420028686,-0.054152141967788336,8.525243630409241,1.9623093366622926,-47.449999999999996
3072,200,5.540206555128098,-0.07004472971893846,5.628541632890701,1.8290343034267424,-35.599999999999994
3200,200,6.37758700966835,-0.06462219053646549,6.459794300794601,1.7585092800855637,-46.52499999999999
3328,200,9.879279725551605,-0.03888811348471791,9.93572737455368,1.7559521120786667,-41.25
3456,200,11.071320906877517,-0.07031602052040398,11.15967899441719,1.8042002999782563,-25.399999999999995
3584,200,5.006109735965729,-0.06613201568834484,5.090527430772782,1.8285672515630722,-37.75
3712,200,5.4133608484268185,-0.06431188689544796,5.495710921287537,1.8038199442625045,-39.925
3840,200,6.287021669745445,-0.04308947474695742,6.347465517520905,1.7354359763860703,-57.0
3968,200,9.899243810176849,-0.0550139680551365,9.973045887947082,1.878809710741043,-45.74999999999999
4096,200,6.053529492616653,-0.0707285519875586,6.142634040117263,1.8375969761610031,-47.94999999999999
4224,200,6.327578843832016,-0.02893684263341129,6.375602540969848,1.9086864352226258,-46.375
4352,200,5.402789324522018,-0.06816087367944419,5.48938437461853,1.8434186816215514,-47.324999999999996
4480,200,10.571349551677704,-0.044868476875126365,10.632586605548859,1.6368579530715943,-35.574999999999996
4608,200,5.10236226439476,-0.07322281209751963,5.19370747089386,1.8122385090589523,-48.52499999999999
4736,200,7.856178145408631,-0.06732051141094417,7.9411953568458555,1.7696704721450807,-42.74999999999999
4864,200,12.989524183273316,-0.03527840784750879,13.042839872837067,1.8037273961305618,-46.525
4992,200,15.355847806930543,-0.05315744372084737,15.428737044334412,1.9731870657205581,-46.974999999999994
5120,200,12.701919269561767,-0.06278897848911584,12.783696937561036,1.898863136768341,-33.37499999999999
5248,200,7.010797678232193,-0.07014879452530294,7.099542698860168,1.859624093770981,-45.474999999999994
5376,200,9.253812074661255,-0.05499435614794493,9.328024314641953,1.9217876130342484,-37.32499999999999
5504,200,14.744720513820647,-0.020141505505889654,14.783560304641723,1.8698211181163789,-39.425
5632,200,9.42822686433792,-0.06957837312482297,9.515936572551727,1.813136460185051,-34.24999999999999
5760,200,9.525128099918366,-0.05884388728998601,9.603101155757905,1.9129186695814133,-35.05
5888,200,11.521756727695465,-0.03908701388631016,11.579535903930664,1.8692183375358582,-44.14999999999999
6016,200,5.612362371683121,-0.08095047669485211,5.710369288921356,1.705643466114998,-32.8
6144,200,5.238396925926208,-0.06460675286129117,5.320961158275605,1.7957461768388747,-32.64999999999999
6272,200,9.962944039106368,-0.06456565944012255,10.045382121801376,1.7872437524795532,-28.249999999999996
6400,200,3.7792064613103866,-0.05238354880129918,3.849892610311508,1.8302606356143951,-20.275
6528,200,5.791855500936508,-0.06458738899789751,5.873874839544296,1.743193471431732,-27.574999999999996
6656,200,5.786732006072998,-0.08237813253421336,5.8861499428749084,1.7039803677797318,-27.02499999999999
6784,200,4.400528176426888,-0.07943325325846672,4.497459743022919,1.7498315596580505,-16.025
6912,200,3.82944224357605,-0.07061776840593666,3.91459743976593,1.4537423288822173,-27.825
7040,200,5.875300327539444,-0.07876222970429808,5.970820367336273,1.675779880285263,-28.325
7168,200,2.9644707792997362,-0.06605373237282038,3.047359569966793,1.6835069698095322,-13.125
7296,200,2.453502876162529,-0.08361897802911698,2.553139744400978,1.6017894852161407,-25.249999999999996
7424,200,4.131141665577888,-0.07617182805668563,4.223674777746201,1.6361283767223358,-28.79999999999999
7552,200,5.927706974744797,-0.0597398495208472,6.004354212284088,1.690740687251091,-29.799999999999997
7680,200,2.955182928740978,-0.059647085666656496,3.0311094987392426,1.6279486912488936,-19.325000000000003
7808,200,2.7426956920325756,-0.07145334025844932,2.8299671667814255,1.58181382894516,-13.150000000000002
7936,200,5.560373899936676,-0.07709737655706704,5.654476789236068,1.7005531728267669,-22.699999999999996
